Last_Update,Copy_of_Confirmed,Copy_of_Deaths,Copy_of_Recovered,Daily_Confirmed,Daily_Deaths,Daily_Recovered
2020-05-04,3506729,247470,1116019,79386.0,3662.0,32090.0
2020-05-05,3583055,251537,1153441,76326.0,4067.0,37422.0
2020-05-06,3662691,257239,1189499,79636.0,5702.0,36058.0
2020-05-07,3755341,263831,1235994,92650.0,6592.0,46495.0
2020-05-08,3845718,269567,1275257,90377.0,5736.0,39263.0
2020-05-09,3938064,274898,1312482,92346.0,5331.0,37225.0
2020-05-10,4024009,279311,1366014,85945.0,4413.0,53532.0
2020-05-11,4101699,282709,1399348,77690.0,3398.0,33334.0
2020-05-12,4177504,286330,1446539,75805.0,3621.0,47191.0
2020-05-13,4261955,291964,1483719,84451.0,5634.0,37180.0
2020-05-14,4347018,297197,1538779,85063.0,5233.0,55060.0
2020-05-15,4442163,302418,1578066,95145.0,5221.0,39287.0
2020-05-16,4542347,307666,1627210,100184.0,5248.0,49144.0
2020-05-17,4634068,311781,1683303,91721.0,4115.0,56093.0
2020-05-18,4713620,315185,1724053,79552.0,3404.0,40750.0
2020-05-19,4801943,318481,1776931,88323.0,3296.0,52878.0
2020-05-20,4897492,323285,1828923,95549.0,4804.0,51992.0
2020-05-21,4996472,328115,1887325,98980.0,4830.0,58402.0
2020-05-22,5102424,332924,1938571,105952.0,4809.0,51246.0
2020-05-23,5210817,338160,2046443,108393.0,5236.0,107872.0
2020-05-24,5310362,342097,2101966,99545.0,3937.0,55523.0
2020-05-25,5407613,345059,2158331,97251.0,2962.0,56365.0
2020-05-26,5495061,346232,2221457,87448.0,1173.0,63126.0
2020-05-27,5589626,350453,2276655,94565.0,4221.0,55198.0
2020-05-28,5691790,355629,2339742,102164.0,5176.0,63087.0
2020-05-29,5808946,360308,2405591,117156.0,4679.0,65849.0
